iter	Logloss
0	0.6737293085
1	0.6554796575
2	0.642891688
3	0.6286205291
4	0.6158990723
5	0.6058470079
6	0.5959514264
7	0.586416349
8	0.5784080535
9	0.5725426576
10	0.5645274097
11	0.5590543306
12	0.5535706495
13	0.547535171
14	0.5418142235
15	0.5371640292
16	0.5333886117
17	0.5298247498
18	0.527031037
19	0.5245396737
20	0.5230200263
21	0.5201474375
22	0.5171636532
23	0.514542912
24	0.5123583302
25	0.5100245913
26	0.5073240599
27	0.5065632717
28	0.5045336894
29	0.5026283689
30	0.5012229047
31	0.4998132792
32	0.4976798101
33	0.4962845935
34	0.4961259633
35	0.4946681992
36	0.4935580897
37	0.4923612445
38	0.4909689698
39	0.4898997233
40	0.489151673
41	0.4885319232
42	0.4879033522
43	0.4873166655
44	0.486873221
45	0.485862125
46	0.4850553761
47	0.4844176667
48	0.4838713564
49	0.4833469528
50	0.4830023237
51	0.4826176757
52	0.4819661789
53	0.4808031068
54	0.4805234054
55	0.4801018476
56	0.4794726269
57	0.4790012472
58	0.4784426073
59	0.4779204308
60	0.4772392263
61	0.4766230592
62	0.4760646182
63	0.4756106006
64	0.4751278344
65	0.4746762219
66	0.4740097016
67	0.4737866551
68	0.4730955216
69	0.4723832115
70	0.4722063509
71	0.4715586869
72	0.4711844412
73	0.4707363261
74	0.4702335399
75	0.4701459032
76	0.469835069
77	0.4694317423
78	0.4691408649
79	0.4686619643
80	0.4686259327
81	0.4682869331
82	0.4680686661
83	0.4671306697
84	0.4666076428
85	0.4664912835
86	0.465946629
87	0.4658019485
88	0.4655140276
89	0.4652112184
90	0.4647951296
91	0.4644224183
92	0.4642596497
93	0.4636988731
94	0.4636540319
95	0.4634339111
96	0.4627024619
97	0.4626822258
98	0.4625292115
99	0.4624205715
100	0.4622413714
101	0.4614875615
102	0.4613940502
103	0.4613940288
104	0.4613695056
105	0.4612625537
106	0.4612111847
107	0.4608149181
108	0.4607197183
109	0.4605334959
110	0.4604113442
111	0.4602348406
112	0.4601709516
113	0.4599976166
114	0.4598537291
115	0.4591157702
116	0.4589239846
117	0.4589239769
118	0.4588519904
119	0.4585238681
120	0.458128244
121	0.4581039089
122	0.4577016175
123	0.4575687486
124	0.4573905605
125	0.4570385559
126	0.4567126287
127	0.4564916308
128	0.4562367124
129	0.4561940359
130	0.4558024184
131	0.4555084498
132	0.455478272
133	0.4554779691
