iter	Logloss
134	0.4549469514
135	0.4546820777
136	0.4546820752
137	0.4546820707
138	0.4544025683
139	0.4541757348
140	0.4540049376
141	0.4536487431
142	0.4535576139
143	0.4532026115
144	0.4530112345
145	0.4529112159
146	0.4527478907
147	0.4524412002
148	0.45235564
149	0.4523556281
150	0.4522397922
151	0.4518116231
152	0.4514699569
153	0.451336919
154	0.4512916622
155	0.4509690123
156	0.4507917898
157	0.4507649076
158	0.4507649057
159	0.4507397461
160	0.4504745083
161	0.4501509676
162	0.449691995
163	0.4492172539
164	0.4486272543
165	0.4483819967
166	0.4482173319
167	0.4481533747
168	0.4478859601
169	0.4478684303
170	0.4473990116
171	0.4470620153
172	0.4469913014
173	0.4466802739
174	0.4464652792
175	0.4464140278
176	0.4463739368
177	0.4462502081
178	0.4459095682
179	0.4457221132
180	0.4450251673
181	0.4447404822
182	0.444154039
183	0.4441248841
184	0.4434971169
185	0.4431489503
186	0.4429001546
187	0.442683183
188	0.442594613
189	0.442105575
190	0.4419636739
191	0.441703379
192	0.4416062825
193	0.4413179331
194	0.441141544
195	0.4407247746
196	0.4405569633
197	0.4403552972
198	0.4402528818
199	0.4402266854
200	0.4399512164
201	0.4396583963
202	0.4389140597
203	0.4382210905
204	0.4380126698
205	0.4378751812
206	0.437214038
207	0.4370781996
208	0.4367254872
209	0.4364954212
210	0.4361977346
211	0.4357676736
212	0.4355835171
213	0.4354752769
214	0.4351045864
215	0.43460789
216	0.434544198
217	0.4343586675
218	0.4338772449
219	0.4337523248
220	0.4337489223
221	0.4336984636
222	0.4333080075
223	0.4331325388
224	0.4329524905
225	0.4327307581
226	0.432516993
227	0.432308114
228	0.4318098115
229	0.4314468237
230	0.4311545276
231	0.4307604999
232	0.4304902848
233	0.430022824
234	0.4297752073
235	0.4296064684
236	0.4292578183
237	0.429055748
238	0.4287889485
239	0.4284432178
240	0.4284006756
241	0.4282635716
242	0.4278305039
243	0.4275515427
244	0.4274574448
245	0.4271280004
246	0.4270247011
247	0.4264954242
248	0.4262789408
249	0.4262625748
250	0.425813585
251	0.4254429408
252	0.4248987311
253	0.4245337408
254	0.4241425218
255	0.4241315751
256	0.4240090427
257	0.4238220863
258	0.4236988451
259	0.423369305
260	0.4233598073
261	0.4230147754
262	0.4226483166
263	0.4225764974
264	0.4224444816
265	0.4222743744
266	0.4217733814
267	0.4216883664
268	0.4213548896
269	0.4210866417
270	0.4210764012
271	0.4208108443
272	0.4205655012
273	0.4199593419
274	0.4198135699
275	0.4194978899
276	0.41900598
277	0.4188030043
278	0.4185983594
279	0.4182015688
280	0.4181163351
281	0.4177557284
282	0.4174843541
283	0.4174124418
284	0.4168729367
285	0.416489788
286	0.4162511548
287	0.4158434897
288	0.4156498511
289	0.4154592417
290	0.4151877808
291	0.4148834682
292	0.4146158822
293	0.414336586
294	0.4140201803
295	0.4139745145
296	0.4136513146
297	0.4136474483
298	0.4133423585
299	0.4130889359
300	0.4128056494
301	0.4126569759
302	0.4122880713
303	0.412141957
304	0.411584659
305	0.4114581552
306	0.4110580158
307	0.4109749536
308	0.4109749532
309	0.4105119622
310	0.4102716319
311	0.4101747537
312	0.4100998609
313	0.4099210247
314	0.4098082055
315	0.4094868587
316	0.4091318129
317	0.4090725272
318	0.4087861611
319	0.4083184461
320	0.4082627189
321	0.4078406062
322	0.4071824113
323	0.406801309
324	0.4063430331
325	0.4063309444
326	0.4059306707
327	0.4059238361
328	0.4055640128
329	0.4053492375
330	0.4052433281
331	0.404916939
332	0.4047831739
333	0.4044144064
334	0.4044143628
335	0.4040527225
336	0.4039297652
337	0.4037888467
338	0.4035091156
339	0.4035090627
340	0.4033421019
341	0.403174407
342	0.4029112643
343	0.4024388848
344	0.4021676674
345	0.4021393493
346	0.4021358051
347	0.4018806769
348	0.4015487931
349	0.4015474294
350	0.4015346224
351	0.401297091
352	0.4009428454
353	0.4005997773
354	0.4005997658
355	0.4005688351
356	0.4005597006
357	0.4002315659
358	0.400225935
359	0.3999119365
360	0.3997642967
361	0.3997629423
362	0.3993110891
363	0.3991782743
364	0.399001445
365	0.398771073
366	0.3984620677
367	0.3980172568
368	0.3980089305
369	0.3978206268
370	0.397811936
371	0.3976205538
372	0.3973868592
373	0.3972537311
374	0.3972286636
375	0.397036642
376	0.3968987073
377	0.3967931969
378	0.3967921567
379	0.3965227658
380	0.3965173471
381	0.3965172528
382	0.3965137959
383	0.3961241895
384	0.3958945598
385	0.3956829872
386	0.3953987456
387	0.3950949026
388	0.3947867881
389	0.3943968006
390	0.3940459594
391	0.3940450224
392	0.3938093081
393	0.3935068875
394	0.3933622135
395	0.393067129
396	0.39303535
397	0.3927358115
398	0.392567818
399	0.3923215665
400	0.3918348857
401	0.3917265123
402	0.3914839399
403	0.3912901926
404	0.3912861391
405	0.3910113252
406	0.3908414099
407	0.3907272704
408	0.3906892415
409	0.3903980044
410	0.3901800931
411	0.3898647172
412	0.389605413
413	0.3894116281
414	0.3890601603
415	0.3890533654
416	0.3889241626
417	0.3888318184
418	0.3885322186
419	0.3881712464
420	0.3880309319
421	0.3877503639
422	0.3874647153
423	0.3873703193
424	0.3871631857
425	0.3870351054
426	0.3866658642
427	0.3864570337
428	0.3862413166
429	0.3860981161
430	0.3859565805
431	0.3858897608
432	0.3856815027
433	0.3852853538
434	0.3851114578
435	0.3847735249
436	0.3845306491
437	0.38452988
438	0.3842188445
439	0.3839937192
440	0.3836431078
441	0.3836367169
442	0.3835702573
443	0.3833270029
444	0.3830484334
445	0.382953981
446	0.382832053
447	0.3827933542
448	0.382580661
449	0.3822815635
450	0.3821214377
451	0.3820640707
452	0.3819106681
453	0.3818864125
454	0.3817447991
455	0.3816267761
456	0.3815041513
457	0.381320459
458	0.3810397055
459	0.3807720674
460	0.380637033
461	0.3804966635
462	0.3803495473
463	0.3801689225
464	0.3799222964
465	0.3797471826
466	0.3794311135
467	0.378997791
468	0.3789810087
469	0.3787104975
470	0.37861753
471	0.3784731817
472	0.37834167
473	0.378035184
474	0.3777050769
475	0.3776105617
476	0.3774590096
477	0.3771002613
478	0.3768814898
479	0.3767181847
480	0.3765728176
481	0.3763720158
482	0.3761978161
483	0.375975245
484	0.3758948089
485	0.375671945
486	0.3754918822
487	0.375488015
488	0.3754067471
489	0.3751489205
490	0.3747250235
491	0.3744568304
492	0.3744511959
493	0.3742613519
494	0.3740402512
495	0.373954489
496	0.3736997969
497	0.373526907
498	0.3733846558
499	0.373156914
500	0.3731271019
501	0.3731227637
502	0.3730231757
